R_arrest_pct,one_shaft_pct,five_shafts_pct,battery_pct
5.626566416040099483e+01,2.857157029478458199e+01,8.138095238095237960e+01,3.999999999999998224e+00
5.639097744360902453e+01,2.869897959183674274e+01,8.142857142857143060e+01,3.999999999999998224e+00
5.651629072681704002e+01,2.882667233560091802e+01,8.147619047619049581e+01,3.999999999999998224e+00
5.664160401002506262e+01,2.895464852607709361e+01,8.152380952380951840e+01,3.999999999999998224e+00
5.676691729323308522e+01,2.908290816326531569e+01,8.157142857142858361e+01,3.999999999999998224e+00
5.689223057644110781e+01,2.921145124716554164e+01,8.161904761904762040e+01,3.999999999999998224e+00
5.701754385964912331e+01,2.934027777777778567e+01,8.166666666666667140e+01,3.999999999999998224e+00
5.714285714285713880e+01,2.946938775510205133e+01,8.171428571428570820e+01,3.999999999999998224e+00
5.726817042606515429e+01,2.959878117913831730e+01,8.176190476190475920e+01,3.999999999999998224e+00
5.739348370927318399e+01,2.972845804988662977e+01,8.180952380952379599e+01,3.999999999999998224e+00
5.751879699248119948e+01,2.985841836734694610e+01,8.185714285714287541e+01,3.999999999999998224e+00
5.764411027568922208e+01,2.998866213151927695e+01,8.190476190476189799e+01,3.999999999999998224e+00
5.776942355889724467e+01,3.011918934240363654e+01,8.195238095238096321e+01,3.999999999999998224e+00
5.789473684210526727e+01,3.025000000000000355e+01,8.200000000000000000e+01,3.999999999999998224e+00
5.802005012531328276e+01,3.038109410430839219e+01,8.204761904761906521e+01,3.999999999999998224e+00
5.814536340852129825e+01,3.051247165532880601e+01,8.209523809523808779e+01,3.999999999999998224e+00
5.827067669172932085e+01,3.064413265306122724e+01,8.214285714285715301e+01,3.999999999999998224e+00
5.839598997493734345e+01,3.077607709750567011e+01,8.219047619047617559e+01,3.999999999999998224e+00
5.852130325814536604e+01,3.090830498866213460e+01,8.223809523809524080e+01,3.999999999999998224e+00
5.864661654135338154e+01,3.104081632653061362e+01,8.228571428571427759e+01,3.999999999999998224e+00
5.877192982456141124e+01,3.117361111111111072e+01,8.233333333333334281e+01,3.999999999999998224e+00
5.889724310776942673e+01,3.130668934240363299e+01,8.238095238095237960e+01,3.999999999999998224e+00
5.902255639097744222e+01,3.144005102040816624e+01,8.242857142857144481e+01,3.999999999999998224e+00
5.914786967418545771e+01,3.157369614512471756e+01,8.247619047619046739e+01,3.999999999999998224e+00
5.927318295739348031e+01,3.170762471655329051e+01,8.252380952380953261e+01,3.999999999999998224e+00
5.939849624060150290e+01,3.184183673469387799e+01,8.257142857142855519e+01,3.999999999999998224e+00
5.952380952380952550e+01,3.197633219954648709e+01,8.261904761904762040e+01,3.999999999999998224e+00
5.964912280701754099e+01,3.211111111111110716e+01,8.266666666666665719e+01,3.999999999999998224e+00
5.977443609022557069e+01,3.224617346938777018e+01,8.271428571428572241e+01,3.999999999999998224e+00
5.989974937343358619e+01,3.238151927437641575e+01,8.276190476190474499e+01,3.999999999999998224e+00
6.002506265664160168e+01,3.251714852607709361e+01,8.280952380952382441e+01,3.999999999999998224e+00
6.015037593984962427e+01,3.265306122448979664e+01,8.285714285714284699e+01,3.999999999999998224e+00
6.027568922305763977e+01,3.278925736961451065e+01,8.290476190476191221e+01,3.999999999999998224e+00
6.040100250626566947e+01,3.292573696145125695e+01,8.295238095238094900e+01,3.999999999999998224e+00
6.052631578947368496e+01,3.306249999999999289e+01,8.300000000000000000e+01,3.999999999999998224e+00
6.065162907268170045e+01,3.319954648526076824e+01,8.304761904761903679e+01,3.999999999999998224e+00
6.077694235588973015e+01,3.333687641723356876e+01,8.309523809523810201e+01,3.999999999999998224e+00
6.090225563909774564e+01,3.347448979591837315e+01,8.314285714285715301e+01,3.999999999999998224e+00
6.102756892230576113e+01,3.361238662131519561e+01,8.319047619047618980e+01,3.999999999999998224e+00
6.115288220551378373e+01,3.375056689342402905e+01,8.323809523809522659e+01,3.999999999999998224e+00
6.127819548872179922e+01,3.388903061224489477e+01,8.328571428571429180e+01,3.999999999999998224e+00
